itemId,brand,name,price,link,rating,reviews_count,product_type,for_whom,skin_type,area,volume
19000147736,ostwint,ostwintshooting after shave balm,2152.0,https://goldapple.kz/19000147736-shooting-after-shave-balm,0.0,0,бальзам после бритья,men,all,face,250 мл
19000010296,elemis,elemis,65250.0,https://goldapple.kz/19000010296-pro-kollagen,4.7,180,пилинг для лица,unisex,all,face,30 мл
19000186791,lavallee,lavalleeprecious luminescence cream,113761.0,https://goldapple.kz/19000186791-precious-luminescence-cream,0.0,0,крем для лица,women,all,face,50 мл
19000029587,la florentina,la florentina,6701.0,https://goldapple.kz/19000029587-citrus,5.0,10,пена для ванн,unisex,all,body,500 мл
90010200016,ahava,ahava,14014.0,https://goldapple.kz/90010200016-sea-kissed,5.0,50,гель для душа,unisex,all,body,200 мл
19000277238,perioe,perioe,8075.0,https://goldapple.kz/19000277238-himalaya-pink-salt-biome,4.7,220,зубная паста,unisex,not_specified,not_specified,
19000445912,olos,olosrevitalizing,4978.0,https://goldapple.kz/19000445912-revitalizing,0.0,0,тоник для лица,unisex,all,face,250 мл
19000088722,lolimi),lolimi),2226.0,https://goldapple.kz/19000088722-francuzskij-provans,5.0,20,соль для ванн,unisex,all,body,
19000122943,meder beauty science,meder beauty science,25926.0,https://goldapple.kz/19000122943-circa-hands,4.9,0,крем для рук,unisex,all,other,30 мл
19000138595,mac,mac,17858.0,https://goldapple.kz/19000138595-hyper-real,4.4,120,гидрофильное масло,women,all,face,200 мл
19760337149,reuzel,reuzel,18995.0,https://goldapple.kz/19760337149-refresh-no-rinse-beard-wash,4.9,0,уход для бороды,men,not_specified,other,100 мл
